sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
MUJSYAFOWOEDP50,MUJER SIN CELOFAN BY ARD AL ZAAFARAN,YARA FOR WOMEN EDP 50 ML MUJER (SIN CELOFAN),,EDP,Mujer,50,,4000,29990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/lattafa-yara-for-women-edp-50-ml-mujer-sin-celofan-by-ard-al-zaafaran,2026-05-29
ARMCLDENUEDP105,ARMAF,CLUB DE NUIT UNTOLD EDP 105 ML,,EDP,Unknown,105,,35000,89990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/club-de-nuit-untold-edp-105-ml-armaf,2026-05-29
MAIAEXROEDEDP100,MAISON ALHAMBRA,EXCLUSIF ROSE EDP 100 ML,,EDP,Unknown,100,,11000,54990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/exclusif-rose-edp-100-ml-maison-alhambra,2026-05-29
MAIAEXSAEDEDP100,MAISON ALHAMBRA,EXCLUSIF SAFFRON EDP 100 ML,,EDP,Unknown,100,,11000,54990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/exclusif-saffron-edp-100-ml-maison-alhambra,2026-05-29
MAIAVIEDMLEDP100,MAISON ALHAMBRA,VICTORIOSO EDP 100 ML,,EDP,Unknown,100,,15000,45990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/victorioso-edp-100-ml-maison-alhambra,2026-05-29
MAIAINOUJOEDP100,MAISON ALHAMBRA,INFINI OUD JOYOUS EDP UNISEX 100 ML,,EDP,Unisex,100,,10000,55990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/infini-oud-joyous-edp-for-unisex-100ml-maison-alhambra,2026-05-29
FORMRACLELEDP75,FOR MEN RALPH LAUREN,RALPH'S CLUB ELIXIR EDP 75 ML FOR MEN,,EDP,Hombre,75,,45000,75990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/ralphs-club-elixir-edp-75-ml-for-men-ralph-lauren,2026-05-29
CARHCHPAMEEDP100,CAROLINA HERRERA,CH PASIÓN MEN EDP 100 ML,,EDP,Hombre,100,,37990,99000,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/ch-pasion-men-edp-100-ml-carolina-herrera,2026-05-29
MAIABEEDMLEDP100,MAISON ALHAMBRA,BERLINETTA EDP 100 ML UNISEX,,EDP,Unisex,100,,12000,45990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/berlinetta-edp-100-ml-unisex-maison-alhambra,2026-05-29
DONKNELOEDEDP100,DONNA KARAN NY,NECTAR LOVE EDP 100 ML,,EDP,Unknown,100,,27000,59990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/nectar-love-edp-100-ml-donna-karan-ny,2026-05-29
CALKCKONSHEDT200,CALVIN KLEIN,CK ONE SHOCK HER EDT 200 ML,,EDT,Mujer,200,,28000,44900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/ck-one-shock-her-edt-200-ml-calvin-klein,2026-05-29
CALKEUEDMLEDP100,CALVIN KLEIN,EUPHORIA EDP 100 ML,,EDP,Unknown,100,,44000,65000,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/euphoria-edp-100-ml-calvin-klein,2026-05-29
CALKCKONSHEDT100,CALVIN KLEIN,CK ONE SHOCK HER EDT 100 ML,,EDT,Mujer,100,,21000,34900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/ck-one-shock-her-edt-100-ml-calvin-klein,2026-05-29
CALKCKINUHEDT150,CALVIN KLEIN,CK IN 2 U HER EDT 150 ML,,EDT,Mujer,150,,24000,39900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/ck-in2u-her-edt-150-ml-calvin-klein,2026-05-29
ANTBBLSEFOEDT200,ANTONIO BANDERAS,BLUE SEDUCTION FOR WOMEN EDT 200 ML,,EDT,Mujer,200,,20000,35990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/blue-seduction-for-women-edt-200-ml-antonio-banderas,2026-05-29
CACAMAMEDEDT100,CACHAREL,AMOR AMOR EDT  100 ML,,EDT,Unknown,100,,34000,55990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/amor-amor-edt-100-ml-caharel,2026-05-29
BRISMIFAEDEDP30,BRITNEY SPEARS,MIDNIGHT FANTASY EDP 30 ML,,EDP,Unknown,30,,9000,21900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/midnight-fantasy-edp-30-ml-britney-spears,2026-05-29
CARHSEWOEDEDP60,CAROLINA HERRERA,212 SEXY WOMEN EDP 60 ML,,EDP,Mujer,60,,62000,79990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/212-sexy-women-edp-60-ml-carolina-herrera,2026-05-29
DONKBEDEEDEDP50,DONNA KARAN NY,BE DELICIOUS EDP 50 ML,,EDP,Unknown,50,,29000,49990,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/be-delicious-edp-50-ml-donna-karan-ny,2026-05-29
MOSILOLOEEDT100,MOSCHINO,I LOVE LOVE EDT 100 ML,,EDT,Unknown,100,,39000,49250,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/i-love-love-edt-100-ml-moschino,2026-05-29
TOMHTOGIEDEDT100,TOMMY HILFIGER,TOMMY GIRL EDT 100 ML,,EDT,Mujer,100,,29000,54900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/tommy-girl-edt-100-ml-tommy-hilfiger,2026-05-29
BRISFAEDMLEDP100,BRITNEY SPEARS,FANTASY EDP 100 ML,,EDP,Unknown,100,,21000,42900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/fantasy-edp-100-ml-britney-spears,2026-05-29
CARHGOGIEDEDP80,CAROLINA HERRERA,GOOD GIRL EDP 80 ML,,EDP,Mujer,80,,99000,139900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/goodgirl-edp-80-ml-carolina-herrera,2026-05-29
CALKCKONEDEDT200,CALVIN KLEIN,CK ONE EDT 200 ML,,EDT,Unknown,200,,30000,48900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/ck-one-edt-200-ml-calvin-klein,2026-05-29
PACRBLXSEDEDP80,PACO RABANNE,BLACK XS EDP 80 ML,,EDP,Unknown,80,,61000,70900,True,multimarcasmayorista.cl,https://www.multimarcasmayorista.cl/black-xs-edp-80-ml-paco-rabanne,2026-05-29
