sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
MAIAMAALSCEDP100,MAISON ALHAMBRA,MAISON ALHAMBRA SCEPTRE OCEANA UNISEX EDP 100 ML (U),,EDP,Unisex,100,,17566,36990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/maison-alhambra-sceptre-oceana-unisex-edp-100-ml-u,2026-05-30
MAIAMAALSCEDP100,MAISON ALHAMBRA,MAISON ALHAMBRA SCEPTRE MALACHITE UNISEX EDP 100 ML (U),,EDP,Unisex,100,,23792,36990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/maison-alhambra-sceptre-malachite-unisex-edp-100-ml-u,2026-05-30
MAIAMAALSCEDP100,MAISON ALHAMBRA,MAISON ALHAMBRA SCEPTRE BRONZITE UNISEX EDP 100 ML (U),,EDP,Unisex,100,,15631,36990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/maison-alhambra-sceptre-bronzite-unisex-edp-100-ml-u,2026-05-30
MAIAMAALSCEDP100,MAISON ALHAMBRA,MAISON ALHAMBRA SCEPTRE AMAZONITE UNISEX EDP 100 ML (U),,EDP,Unisex,100,,24490,36990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/maison-alhambra-sceptre-amazonite-unisex-edp-100-ml-u,2026-05-30
ASDASSAUNEDP100,ASDAAF,ASDAAF SALAMAH UNISEX EDP 100 ML (U),,EDP,Unisex,100,,19219,33990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/asdaaf-salamah-unisex-edp-100-ml-u,2026-05-30
ASDASSAUNEDP100,ASDAAF,ASDAAF SAUD UNISEX EDP 100 ML (U),,EDP,Unisex,100,,15191,33990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/asdaaf-saud-unisex-edp-100-ml-u,2026-05-30
ASDASAMALEDP100,ASDAAF,ASDAAF AMEERAT AL ARAB PRIVE ROSE MUJER EDP 100 ML (M),,EDP,Mujer,100,,14241,32990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/asdaaf-ameerat-al-arab-prive-rose-mujer-edp-100-ml-m,2026-05-30
ORIORXCOUPAR60,ORIENTICA,ORIENTICA XCLUSIF OUD SPORT EXTRAIT PARFUM UNISEX 60 ML(U),,PARFUM,Unisex,60,,48925,80990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/orientica-xclusif-oud-sport-extrait-parfum-unisex-60-mlu,2026-05-30
ORIORXCOUPAR60,ORIENTICA,ORIENTICA XCLUSIF OUD EMERALD EXTRAIT PARFUM UNISEX 60 ML (U),,PARFUM,Unisex,60,,48925,80990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/orientica-xclusif-oud-emerald-extrait-parfum-unisex-60-ml-u,2026-05-30
LATLABAALEDP100,LATTAFA,LATTAFA BADEE AL OUD FOR GLORY UNISEX EDP 100 ML (U),,EDP,Unisex,100,,18889,32990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-badeel-al-oud-for-glory-unisex-edp-100-ml-u,2026-05-30
MAIAMAALPHEDP100,MAISON ALHAMBRA,MAISON ALHAMBRA PHILOS ROSSO MUJER EDP 100 ML (M),,EDP,Mujer,100,,13791,27990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/maison-alhambra-philos-rosso-mujer-edp-100-ml-m,2026-05-30
MAIAMAALROEDP100,MAISON ALHAMBRA,MAISON ALHAMBRA ROMAN VII UNISEX EDP 100 ML (U),,EDP,Unisex,100,,15191,35990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/maison-alhambra-roman-vii-unisex-edp-100-ml-u,2026-05-30
MAIAMAALEXEDP100,MAISON ALHAMBRA,MAISON ALHAMBRA EXCLUSIF OUD UNISEX EDP 100 ML (U),,EDP,Unisex,100,,12138,38990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/maison-alhambra-exclusif-oud-unisex-edp-100-ml-u,2026-05-30
MAIAMAALBLEDP60,MAISON ALHAMBRA,MAISON ALHAMBRA BLACK WOOD UNISEX EDP 60 ML (U),,EDP,Unisex,60,,13923,31990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/maison-alhambra-black-wood-unisex-edp-60-ml-u,2026-05-30
LATLAQIMUEDP100,LATTAFA,LATTAFA QIMMAH MUJER EDP 100 ML (M),,EDP,Mujer,100,,18041,33990,True,eliteperfumes-distribuidor.cl,https://www.eliteperfumes-distribuidor.cl/products/lattafa-qimmah-mujer-edp-100-ml-m,2026-05-30
