sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
AJMAJVIWOEDP75,AJMAL,AJMAL VIBE WOMEN EDP 75 ML MUJER,,EDP,Mujer,75,,2590000,3499000,True,lodoro.cl,https://www.lodoro.cl/products/ajmal-vibe-women-edp-75-ml-mujer,2026-05-28
AJMAJENWOEDP75,AJMAL,AJMAL ENTICE WOMEN EDP 75 ML MUJER,,EDP,Mujer,75,,2590000,3299000,True,lodoro.cl,https://www.lodoro.cl/products/ajmal-entice-women-edp-75-ml-mujer,2026-05-28
AJMAJSHHIEDP75,AJMAL,AJMAL SHADOW HIM EDP 75 ML  HOMBRE,,EDP,Hombre,75,,2990000,4699000,True,lodoro.cl,https://www.lodoro.cl/products/ajmal-shadow-him-edp-75-ml-hombre,2026-05-28
AJMAJCHHIEDP90,AJMAL,AJMAL CHEMYSTERY HIM EDP 90 ML HOMBRE,,EDP,Hombre,90,,2490000,4899000,True,lodoro.cl,https://www.lodoro.cl/products/ajmal-chenystery-him-edp-90-ml-hombre,2026-05-28
KHALKHINBLEDP100,KHADLAJ LA FEDE,KHADLAJ INTOXICATE BLUE ELIXIR EDP 100 ML HOMBRE,,EDP,Hombre,100,,2790000,3699000,True,lodoro.cl,https://www.lodoro.cl/products/khadlaj-intoxicate-blue-elixir-edp-100-ml-hombre,2026-05-28
KHAKHMANOEDP100,KHADLAJ,KHADLAJ MAGNATE NOBLE EDP 100 ML HOMBRE,,EDP,Hombre,100,,2490000,3499000,True,lodoro.cl,https://www.lodoro.cl/products/khadlaj-magnate-noble-edp-100-ml-hombre,2026-05-28
KHAKHHAALPAR35,KHADLAJ,KHADLAJ HAREEM AL SULTAN GOLD PARFUM OIL 35 ML UNISEX,,PARFUM,Unisex,35,,1890000,2999000,True,lodoro.cl,https://www.lodoro.cl/products/khadlaj-hareem-al-sultan-gold-parfum-oil-35-ml,2026-05-28
KHAKHMAPREDP100,KHADLAJ,KHADLAJ MAGNATE PREMIER EDP 100 ML UNISEX,,EDP,Unisex,100,,1099000,3499000,True,lodoro.cl,https://www.lodoro.cl/products/khadlaj-magnate-premier-edp-100-ml-unisex,2026-05-28
VICSVISECOUNK236,VICTORIA SECRET,VICTORIA SECRET COCONUT PASSION SHIMMER LOCIÓN 236 ML MUJER NUEVO FORMATO,,Unknown,Mujer,236,,1490000,2499000,True,lodoro.cl,https://www.lodoro.cl/products/victoria-secret-coconut-passion-locion-236-ml-mujer-nuevo-formato,2026-05-28
VICSVISEVEUNK236,VICTORIA SECRET,VICTORIA SECRET VELVET PETALS SHIMMER LOCION CORPORAL 236ML MUJER NUEVO FORMATO,,Unknown,Mujer,236,,1490000,2499000,True,lodoro.cl,https://www.lodoro.cl/products/victoria-secret-velvet-petals-shimmer-locion-corporal-237ml-mujer-nuevo-formato,2026-05-28
